"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","Bir tanesi iyiydi."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Diğeri için aynısını diyemem."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Yine de teşekkürler."
"traveler:HIRING_ENGINEERS_END","I got three calls.","Üç kişi aradı."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Ikisi iyiydi."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Sonuncusu aptalın teki. Basit şeyleri bile bilmiyor."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","Ama olsun, teşekkür ederim."
"traveler:HIRING_ENGINEERS_END","I got four calls.","Dört kişi aradı."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Inşaat mühendisiydiler. Işe yaramazlar."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","Makinecileri ihtiyacım var. Sana söylemiştim."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","Yine de sorun değil. Son ulaşan gayet iyi."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Yardımın için teşekkürler."
"traveler:FRIENDLY_GUARD0","Hello.","Merhaba."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","Duyduğum kadarıyla Nirsklisin?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","Orada büyüdüm ama yıllardır ziyaret edemedim."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@Hala eskisi gibi boktan bir yer."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Haha, eminim. Tıpkı hatırladığım gibi."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","Adım Sergiu. Tanıştığımıza memnun oldum."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","Güvenliğini sağlamak için elimden gelenin en iyisini yapacağım."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Dün için teşekkür ederim."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","Eskisi gibi nişan alamıyorum."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","Bu sınırdaki aksyion savaştakinden daha fazla."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","Kolechia'da 5 yıl savaştım."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","Arstotzka kötü diye düşünüyorsan, Kolechia on katı kötü."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","Buraya gelmek istedikleri için onları suçlamıyorum."
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","Neyse, seni tutmayayım. Kolay gelsin."
"traveler:FRIENDLY_GUARD3","Friend, how are you?","Nasılsın dostum?"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","Senden ufak bir şey isteyeceğim."
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","Savaş sırasında güzel bir kızla tanıştım."
"traveler:FRIENDLY_GUARD3","I think about her every moment.","Sürekli onu düşünüyorum."
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","Dün haber geldi, sonunda buraya geliyormuş."
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","Lütfen geçmesine izin ver, ne istersen yaparım."
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","Adı Elisa."
"traveler:FRIENDLY_GUARD4","Thank you for everything.","Her şey için teşekkür ederim."
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisa burada çok mutlu."
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","Ilk çocuğumuza senin ismini vermek istiyor."
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","Bu sorun değil ama ben önce kızımız olsun istiyorum!"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","Ona madalyonu göstermek istiyorum."
"traveler:FRIENDLY_GUARD4","Do you still have it?","Hala sende mi?"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","Bunu çok özlemişim."
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","Büyük bir şey değil ama sana teşekkür etmek için bir şey bulduk."
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisa evine götürecek. Umarım yardımı dokunur."
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","Yarın başka bir sınıra gideceğim."
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","Kendine iyi bak dostum."
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisa gelmedi."
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@Geldi ama belgelerinde hata vardı."
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@Söyle doğru belgelerle gelsin."
"traveler:FRIENDLY_GUARD4","You know this is impossible.","Bunun imkansız olduğunu biliyorsun."
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","Madalyon hala sendeyse geri ver."
"traveler:ELISA","Do you know Sergiu?","Sergiu'yu tanıyor musun?"
"traveler:ELISA","He said you were friend. That you would help.","Bize yardım edecek arkadaşı senmişsin."
"traveler:ELISA","Please, my family is gone.","Lütfen, ailem göçüp gitti."
"traveler:ELISA","I have only Sergiu left.","Sadece Sergiu kaldı."
"traveler:ELISA","@You do not have the required documentation.","@Belgelerinde eksik var."
"traveler:ELISA","I tried for so long.","Çok uğraştım."
"traveler:ELISA","They would not allow me to leave.","Çıkmama izin vermediler."
"traveler:ELISA","I am denied?","Ret mi bastın?"
"traveler:ELISA","I understand.","Anlıyorum."
"traveler:ELISA","Please, tell Sergiu I will always love him.","Lütfen Sergiu'ya söyle onu sonsuza kadar seveceğim."
"traveler:ELISA","We will be together in another life.","Başka bir hayatta beraber olacağız."
"traveler:ELISA","Return this for him to remember me.","Beni hatırlaması için ona bunu ver."
"traveler:ELISA","Thank you so much.","Teşekkür ederim."
"traveler:ELISA","I will never forget your kindness.","Bu iyiliğini asla unutmayacağım."
"traveler:ELISA","@He is waiting for you.","@Seni bekliyor."
"traveler:ELISA","My love.","Aşkım."
"traveler:ELISA","I miss him.","Onu çok özledim."
"traveler:ELISA","@I am sorry. Sergiu was killed.","@Üzgünüm. Sergiu öldürüldü."
"traveler:ELISA","My Sergiu.","Sergiu'm."
"traveler:ELISA","Thank you for your kindness.","Nezaketin için teşekkürler."
"traveler:ELISA","There is nothing for me here any more.","Artık burada işim yok."
"traveler:ELISA","Thank you.","Teşekkür ederim."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","Kimseyi gözaltına almadın."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","Sadece bir kişiyi gözaltına aldın."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","${Game/NumDetains} kişiyi gözaltına aldın."
"traveler:PRISON_GUARD0","Hello.","Merhaba."
"traveler:PRISON_GUARD0","@Are you the spy?","@Sen ajan mısın?"
"traveler:PRISON_GUARD0","What? No.","Ne? Hayır."
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","Ben korumayım. Adım Calensk."
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","Bana daha iyi bir yere tayinimin çıktığını söleyip buraya yolladılar."
"traveler:PRISON_GUARD0","This is thanks I get.","Böyle teşekkür ettiler."
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","Artık her şeyimi karşılıyorlar."
"traveler:PRISON_GUARD0","@They pay us all as much.","@Hepimize o kadar veriyorlar."
"traveler:PRISON_GUARD0","Yes. But look.","Evet ama bak."
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","Sen gözaltına aldıkça bana prim veriyorlar."
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","Sen ne kadar çok alırsan ben de incelediğim için o kadar alıyorum."
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","Ama bu adil değil, ne dersin? Sana da vermeleri lazım."
"traveler:PRISON_GUARD0","So I fix this problem.","Bu işi çözüyorum."
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","Gözaltına aldığın her iki kişi karşılığında sana primimden 5 kredi vereceğim."
"traveler:PRISON_GUARD0","Sounds like good deal to me.","Bence iyi bir anlaşma."
"traveler:PRISON_GUARD0","I give money to you after I get paid.","Ödemeyi aldıktan sonra sana vereceğim."
"traveler:PRISON_GUARD0","Let us make the best of this.","En iyi şekilde çalışalım."
"traveler:PRISON_GUARD3","Here.","Işte."
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","Primden ve bomba parçalarından gelenler."
"traveler:PRISON_GUARD3","They move our station to prison.","Istasyonumuzu nezarethaneye taşıdılar."
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","Prim almaya devam ediyoruz yani gözaltına devam.~"
"traveler:PRISON_GUARD3","I stop visiting you here.","Artık buraya uğramayacağım."
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","Onun yerine parayı evinde vereceğim."
"traveler:PRISON_GUARD3","Every other night.","Her gece."
"traveler:PRISON_GUARD_PAYOUT","What is going on?","Neler oluyor?"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","Senin yüzünden hiçbir şey alamıyorum."
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","Daha fazla insanı gözaltına al ki ikimiz de kazanalım."
"traveler:PRISON_GUARD_PAYOUT","Good morning.","Günaydın."
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","Yeteri kadar insanı göz altına almıyorsun."
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","Sana verecek hiçbir şeyim yok."
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","Daha çok gözaltına al ki primimden payını verebileyim."
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","Prim fena değil, idare eder."
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","Gerçi fazla değil."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","Belki daha çok gözaltına alırsan daha iyi kazanırız."
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@Bu yeterli değil."
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","Biliyorum."
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","Eşim hastalandı. Komuşdan grip kaptı."
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","Ilaçtan sonra bu kadar kaldı."
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","Bir dahakine daha çok veririm."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","Daha çok gözaltına alırsan daha kolay olabilir."
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","Işte senin payın."
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@Son seferden daha fazla var."
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","Şimdilik bu kadar var ama yakında telafi ederim."
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","Dediğim gibi biraz sıkıntıdayız."
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","Gözaltına devam, yakında dönerim."
"traveler:PRISON_GUARD_BOMB","What is going on?","Neler oluyor?"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","Oh. Hah."
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","Bu amatörlük de ne?"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@Burayı tahliye etmeli miyiz?"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","Bu ufacık şey için mi? Elbette hayır."
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","Sen imha edersin. Kapağını aç."
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","Gerizekalı mal terörist."
"traveler:PRISON_GUARD_BOMB","Could not even add a display.","Ekran bile eklememiş."
"traveler:PRISON_GUARD_BOMB","@What should I do now?","@Şimdi ne yapacağım?"
"traveler:PRISON_GUARD_BOMB","This is poorest bomb I ever see. A simple mind created this.","Bu gördüğüm en basit bomba. Aptalın biri yapmış olmalı."
"traveler:PRISON_GUARD_BOMB","Just cut the wires in order.","Kabloları sırayla kes."
"traveler:PRISON_GUARD_BOMB","Ok, all done. Back to work.","Işte, oldu. Işe devam edelim."
"traveler:PRISON_GUARD_BOMB","@We should close the checkpoint.","@Sınırı kapatmamız lazım."
"traveler:PRISON_GUARD_BOMB","Bullshit. I need to earn money today.","Saçmalık. Para kazanmam lazım."
"traveler:PRISON_GUARD_BOMB","Give bomb to me.","Bombayı bana ver."
"traveler:PRISON_GUARD_BOMB","I sell materials and give you cut.","Parçaları satar sana da payını veririm."
"traveler:PRISON_GUARD_BOMB","What a piece of shit.","Bi boka yaramaz."
"traveler:PRISON_GUARD_BOMB","I doubt it is even worth much.","Kesin bir ederi de yoktur."
"traveler:PRISON_GUARD_BOMB","Call the next immigrant.","Sıradaki yolcuyu çağır."
"traveler:TIME_BOMBER","DEATH TO ARSTOTZKA!","ARSTOTZKA'YA ÖLÜM!"
"traveler:BOSS_REPORTCITATIONS","You have received no citations.","Hiç uyarı almadın."
"traveler:BOSS_REPORTCITATIONS","You have received one citation.","Sadece bir uyarı aldın."
"traveler:BOSS_REPORTCITATIONS","You have received ${Game/NumCitations} citations.","${Game/NumCitations} tane uyarı aldın."
"traveler:BOSS0","So.~","Pekala.~"
"traveler:BOSS0","You are inspector here.~","Buranın memuru sensin.~"
"traveler:BOSS0","That makes you my responsibility.~","Benim sorumluluğum altındasın.~"
"traveler:BOSS0","You make Arstotzka proud.~","Arstotzka'yı onurlandırdın.~"
"traveler:BOSS0","Hang it on wall here.","Duvarına asabilirsin."
"traveler:BOSS0","I return in 10 days.~","10 gün sonra geri geleceğim.~"
"traveler:BOSS0","Maintain your diligence.","Çalışmaya devam."
"traveler:BOSS0","Glory to Arstotzka.","Yaşasın Arstotzka."
"traveler:BOSS0","Perhaps it was mistake to rely on lottery.","Belki de kuraya güvenmek bir hataydı."
"traveler:BOSS0","Let this motivate you.~","Bu seni motive eder.~"
"traveler:BOSS0","Do not embarrass me.","Yüzümü kara çıkarma."
"traveler:BOSS0","It makes me look like fool to trust lottery.~","Kuraya güvendiğim için aptal gibi hissediyorum.~"
"traveler:BOSS0","Let this motivate you to improve.~","Bu seni motive etsin ki iyi çalış.~"
"traveler:BOSS0","Do not embarrass me further.","Bir daha beni utandırma."
"traveler:BOSS1","It is too early to come all the way out here.","Sabahın köründe buraya geldim."
"traveler:BOSS1","The smell at this checkpoint makes me sick.","Buranın kokusu midemi bulandırıyor."
"traveler:BOSS1","Where is plaque I gave you?","Sana verdiğim plaket nerede?"
"traveler:BOSS1","Why is it not on wall?","Neden duvara asmadın?"
"traveler:BOSS1","What is other shit hanging here?","Bunlar da ne böyle?"
"traveler:BOSS1","These walls are for official plaques only.","Duvarlara sadece resmi plaketler asabilirsin."
"traveler:BOSS1","Your pay will be docked for violation.","Bunun için ceza ödeyeceksin."
"traveler:BOSS1","@It will not happen again.","@Bir daha olmayacak."
"traveler:BOSS1","At least you are performing well.","En azından performansın iyi."
"traveler:BOSS1","Continue this honorable service.","Bu onurlu işi yapmaya devam et."
"traveler:BOSS1","At least your performance is not terrible.","En azından performansın fena değil."
"traveler:BOSS1","Do not slip further.","Işine odaklan."
"traveler:BOSS1","And your performance is terrible.","Performansın da rezalet ötesi."
"traveler:BOSS1","Maybe you have forgotten what your job is.","Belki burada ne yapman gerektiğini unuttun."
"traveler:BOSS1","There are many more who can take your place.","Yerini alabilecek bir sürü kişi var."
"traveler:BOSS1","Now.","Beni iyi dinle."
"traveler:BOSS1","I have old friend coming through.","Eski bir dostum gelecek."
"traveler:BOSS1","Approve her entry.","Geçmesine izin ver."
"traveler:BOSS1","She is Shae Piersovska.~","Adı Shae Piersovska.~"
"traveler:BOSS1","I do not want to hear of any trouble to her.","Herhangi bir zorluk çıkarttığını duymayayım."
"traveler:BOSS1","Glory to Arstotzka.","Yaşasın Arstotzka."
"traveler:BOSS2","You little bastard.~","Şerefsiz herif.~"
"traveler:BOSS2","Shae thinks I am powerless fool now.","Shae benim boş biri olduğumu düşünüyor."
"traveler:BOSS2","It was made very clear to let her through.","Sana geçmesine izin ver dedim."
"traveler:BOSS2","Now I must think about the consequences for you.~","Şimdi sana yaptırımlarım olacak.~"
"traveler:BOSS2","Maybe this place not so bad.","Belki de burası çok da kötü değildir."
"traveler:BOSS2","With everything going on, checkpoint visit is nice break.~","Son olanlardan sonra sınırları ziyaret etmek iyi oluyor.~"
"traveler:BOSS2","You still do not hang the plaques.","Hala plaketleri asmamışsın."
"traveler:BOSS2","Why do you not hang both plaques?","Neden plaketleri asmadın?"
"traveler:BOSS2","But again you have unauthorized items on wall.","Hala da duvarda onaylanmamış şeyler duruyor."
"traveler:BOSS2","I warned before.~","Seni daha önce uyardım.~"
"traveler:BOSS2","But what is other shit hanging here?","Bu saçmalıklar da ne böyle?"
"traveler:BOSS2","These walls are for official plaques only.","Duvarlara sadece resmi plaketler asabilirsin."
"traveler:BOSS2","Your pay will be docked for violation.","Bunun için ceza ödeyeceksin."
"traveler:BOSS2","@It will not happen again.","@Bir daha olmayacak."
"traveler:BOSS2","There are no more plaques.","Başka plaket yok."
"traveler:BOSS_BUDDY","How is Dimitri?","Dimitri nasıl?"
"traveler:BOSS_BUDDY","I hear he runs checkpoint now.","Duyduğuma göre buranın müdürü olmuş."
